"Constituent ID","Gift ID","Gift Date","Fund Description","Gift Amount","Preferred ZIP"
87,3911,01/07/2013,"Annual Fund",500,"02940-6008"
87,4032,01/31/2013,"Gala Event 2013",2500,"02940-6008"
87,4040,02/25/2013,"Gala Event 2013",2500,"02940-6008"
87,3389,11/17/2011,"Restricted-Programs",1500,"02940-6008"
87,4284,09/18/2013,"Opening Our Doors Capital Campaign",25000,"02940-6008"
87,4492,02/06/2014,"Gala Event 2014",2500,"02940-6008"
87,4540,02/19/2014,"Gala Event 2014",2500,"02940-6008"
87,4821,09/23/2014,"Opening Our Doors Capital Campaign",25000,"02940-6008"
87,5281,04/06/2015,"Gala Event 2015",5000,"02940-6008"
87,5227,01/28/2015,"Gala Event 2015",5000,"02940-6008"
87,5663,01/22/2016,"Gala Event 2016",5000,"02940-6008"
87,5617,01/06/2016,"Gala Event 2016",5000,"02940-6008"
87,7009,03/24/2017,"Gala Event 2017",5000,"02940-6008"
87,6869,01/27/2017,"Gala Event 2017",5000,"02940-6008"
87,7737,01/12/2018,"Gala Event 2018",5000,"02940-6008"
9096,8806,01/17/2019,"Children's Annual Fund",5000,"02703-0933"
9096,14761,02/07/2024,"Children's Annual Fund",5200,"02703-0933"
11131705,12008,10/07/2021,"PPL Annual Fund",1000,2906
11127434,12686,04/08/2022,"Savor the Story 2022",1000,2903
11127434,13856,04/18/2023,"PPL Annual Fund",1000,2903
11127434,11175,01/29/2021,"PPL Annual Fund",250,2903
8663,14919,04/02/2024,"Young Creators",25,
8663,15463,01/03/2025,"PPL Annual Fund",100,
8663,13721,03/17/2023,"PPL Annual Fund",4000,
8663,8804,01/04/2019,"PPL Annual Fund",8,
8663,8859,01/15/2019,"PPL Annual Fund",30,
8663,8867,01/15/2019,"PPL Annual Fund",20,
8663,8877,12/18/2018,"PPL Annual Fund",10,
8663,8878,12/19/2018,"PPL Annual Fund",5,
8663,8879,12/19/2018,"PPL Annual Fund",5,
8663,8880,12/19/2018,"PPL Annual Fund",5,
8663,8913,02/11/2019,"PPL Annual Fund",20,
8663,8980,03/13/2019,"Gala Event 2019",100,
8663,8987,03/06/2019,"PPL Annual Fund",20,
8663,8944,03/05/2019,"PPL Annual Fund",50,
8663,8614,12/12/2018,"PPL Annual Fund",12,
8663,8598,12/04/2018,"PPL Annual Fund",8,
8663,8758,12/14/2018,"PPL Annual Fund",50,
8663,8762,12/14/2018,"PPL Annual Fund",45,
8663,8004,04/30/2018,"PPL Annual Fund",1000,
8663,8046,05/15/2018,"PPL Annual Fund",34,
8663,8170,06/06/2018,"PPL Annual Fund",34,
8663,8250,07/12/2018,"PPL Annual Fund",5.2,
8663,8385,09/24/2018,"PPL Annual Fund",11.45,
8663,8377,08/16/2018,"PPL Annual Fund",20,
8663,8363,08/28/2018,"PPL Annual Fund",73.31,
8663,8288,06/12/2018,"PPL Annual Fund",50,
8663,8348,08/10/2018,"PPL Annual Fund",34,
8663,8426,10/23/2018,"PPL Annual Fund",8,
8663,8409,10/01/2018,"Special Collections Annual Fund",17500,
8663,8468,11/06/2018,"PPL Annual Fund",1000,
8663,9980,02/24/2020,"PPL Annual Fund",10.8,
8663,9981,02/24/2020,"PPL Annual Fund",16.2,
8663,10043,03/30/2020,"PPL Annual Fund",2000,
8663,10085,04/01/2020,"PPL Annual Fund",25,
8663,10087,04/01/2020,"PPL Annual Fund",15,
8663,10094,04/01/2020,"PPL Annual Fund",25,
8663,9604,11/20/2019,"PPL Annual Fund",10.8,
8663,9150,05/06/2019,"PPL Annual Fund",20,
8663,9090,04/26/2019,"PPL Annual Fund",20,
8663,9503,10/01/2019,"PPL Annual Fund",10,
8663,9505,10/02/2019,"PPL Annual Fund",10.8,
8663,9544,10/24/2019,"PPL Annual Fund",10.8,
8663,9339,06/24/2019,"PPL Annual Fund",30,
8663,9371,07/22/2019,"PPL Annual Fund",15.81,
8663,9453,08/14/2019,"PPL Annual Fund",10.8,
8663,12429,01/25/2022,"PPL Annual Fund",65,
8663,10221,05/20/2020,"PPL Annual Fund",25,
8663,10518,08/20/2020,"PPL Annual Fund",125,
8663,7736,01/11/2018,"PPL Annual Fund",50.67,
8663,7528,11/15/2017,"PPL Annual Fund",50,
8663,7562,11/27/2017,"PPL Annual Fund",300,
8663,7953,04/12/2018,"PPL Annual Fund",34,
8663,7921,03/08/2018,"PPL Annual Fund",34,
8663,7924,03/13/2018,"PPL Annual Fund",98.8,
8663,7793,12/10/2017,"PPL Annual Fund",25,
8663,7794,12/10/2017,"PPL Annual Fund",10,
8663,7790,12/10/2017,"PPL Annual Fund",50,
8663,7842,02/09/2018,"PPL Annual Fund",34,
8663,6876,02/10/2017,"PPL Annual Fund",300,
8663,7220,05/30/2017,"PPL Annual Fund",300,
8663,5675,01/05/2016,"Annual Fund",80.78,
8663,6368,11/26/2016,"PPL Annual Fund",1,
8663,6476,12/02/2016,"PPL Annual Fund",250,
8663,5183,12/29/2014,"Restricted-Programs",1100,
8663,5264,03/21/2015,"Annual Fund",5,
8663,5345,06/05/2015,"Annual Fund",25,
8663,4781,07/18/2014,"Annual Fund",800,
8663,4963,11/23/2014,"Annual Fund",250,
8663,4543,02/14/2014,"Annual Fund",1000,
8663,4477,12/27/2013,"Annual Fund",1500,
8663,4692,05/23/2014,"Annual Fund",5,
8663,4645,04/11/2014,"Annual Fund",250,
8663,4290,09/13/2013,"Annual Fund",30.76,
8663,4255,08/15/2013,"Annual Fund",61.52,
8663,4337,11/16/2013,"Annual Fund",50,
8663,4216,06/14/2013,"Restricted Fund",100,
8663,4217,06/14/2013,"Annual Fund",30.76,
8663,4206,05/13/2013,"Annual Fund",30.76,
8663,4186,06/10/2013,"Annual Fund",5,
8663,4148,04/15/2013,"Annual Fund",60.14,
8663,4158,05/08/2013,"Restricted Fund",100,
8663,4164,05/13/2013,"Annual Fund",46.14,
8663,3390,11/20/2011,"Annual Fund",20,
8663,3378,10/13/2011,"Annual Fund",5,
8663,3168,04/20/2011,"Annual Fund",120,
8663,2870,07/16/2010,"Annual Fund",25,
8663,2738,03/12/2010,"Annual Fund",5,
8663,3992,01/15/2013,"Annual Fund",150,
8663,3993,01/15/2013,"Annual Fund",50,
8663,3994,01/15/2013,"Annual Fund",20,
8663,3921,12/25/2012,"Annual Fund",50,
8663,3932,12/31/2012,"Annual Fund",20,
8663,3832,12/03/2012,"Annual Fund",150,
8663,3735,09/26/2012,"Restricted Fund",100,
8663,3736,09/26/2012,"Restricted Fund",100,
8663,3699,04/11/2012,"Annual Fund",100,
8663,3713,08/07/2012,"Annual Fund",10,
8663,3717,08/10/2012,"Restricted Fund",100,
8663,3718,08/10/2012,"Restricted Fund",100,
8663,3725,08/30/2012,"Annual Fund",100,
8663,3547,12/31/2011,"Annual Fund",20,
11126017,7390,09/12/2017,"Children's Annual Fund",1000,"19406-1308"
11126924,10762,11/21/2020,"Special Collections Annual Fund",20,2916
11126924,11002,12/28/2020,"Special Collections Annual Fund",10,2916
11126924,11403,04/01/2021,"PPL Annual Fund",5,2916
11126924,11343,03/21/2021,"Special Collections Annual Fund",25,2916
11126924,12619,04/01/2022,"PPL Annual Fund",5,2916
11126924,11739,06/09/2021,"Special Collections Annual Fund",10,2916
11126924,13756,04/03/2023,"RI Family Literacy Initiative",5,2916
11126924,14939,04/01/2024,"Young Creators",10,2916
